"subject_id","treatment_id","paper_id","Game_type","scenarios","choice","A","endowment","female","age","Design"
"2019Cha026_1_422","2019Cha026_1","2019Cha026","DG",4,0,0,10,1,24,"Between"
"2019Cha026_1_422","2019Cha026_1","2019Cha026","DG",5,0,0,10,1,24,"Between"
"2019Cha026_1_422","2019Cha026_1","2019Cha026","DG",6,0,0,10,1,24,"Between"
"2019Cha026_1_422","2019Cha026_1","2019Cha026","DG",7,0,0,10,1,24,"Between"
"2019Cha026_1_422","2019Cha026_1","2019Cha026","DG",8,0,0,10,1,24,"Between"
"2019Cha026_1_422","2019Cha026_1","2019Cha026","DG",9,0,0,10,1,24,"Between"
"2019Cha026_1_422","2019Cha026_1","2019Cha026","DG",10,0,0,10,1,24,"Between"
"2019Cha026_1_423","2019Cha026_1","2019Cha026","DG",0,0,1,10,0,18,"Between"
"2019Cha026_1_423","2019Cha026_1","2019Cha026","DG",1,0,0,10,0,18,"Between"
"2019Cha026_1_423","2019Cha026_1","2019Cha026","DG",2,0,0,10,0,18,"Between"
"2019Cha026_1_423","2019Cha026_1","2019Cha026","DG",3,0,0,10,0,18,"Between"
"2019Cha026_1_423","2019Cha026_1","2019Cha026","DG",4,0,0,10,0,18,"Between"
"2019Cha026_1_423","2019Cha026_1","2019Cha026","DG",5,0,0,10,0,18,"Between"
"2019Cha026_1_423","2019Cha026_1","2019Cha026","DG",6,0,0,10,0,18,"Between"
"2019Cha026_1_423","2019Cha026_1","2019Cha026","DG",7,0,0,10,0,18,"Between"
"2019Cha026_1_423","2019Cha026_1","2019Cha026","DG",8,0,0,10,0,18,"Between"
"2019Cha026_1_423","2019Cha026_1","2019Cha026","DG",9,0,0,10,0,18,"Between"
"2019Cha026_1_423","2019Cha026_1","2019Cha026","DG",10,0,0,10,0,18,"Between"
"2019Cha026_1_434","2019Cha026_1","2019Cha026","DG",0,2,0,10,1,45,"Between"
"2019Cha026_1_434","2019Cha026_1","2019Cha026","DG",1,2,0,10,1,45,"Between"
"2019Cha026_1_434","2019Cha026_1","2019Cha026","DG",2,2,1,10,1,45,"Between"
"2019Cha026_1_434","2019Cha026_1","2019Cha026","DG",3,2,0,10,1,45,"Between"
"2019Cha026_1_434","2019Cha026_1","2019Cha026","DG",4,2,0,10,1,45,"Between"
"2019Cha026_1_434","2019Cha026_1","2019Cha026","DG",5,2,0,10,1,45,"Between"
"2019Cha026_1_434","2019Cha026_1","2019Cha026","DG",6,2,0,10,1,45,"Between"
"2019Cha026_1_434","2019Cha026_1","2019Cha026","DG",7,2,0,10,1,45,"Between"
"2019Cha026_1_434","2019Cha026_1","2019Cha026","DG",8,2,0,10,1,45,"Between"
"2019Cha026_1_434","2019Cha026_1","2019Cha026","DG",9,2,0,10,1,45,"Between"
"2019Cha026_1_434","2019Cha026_1","2019Cha026","DG",10,2,0,10,1,45,"Between"
"2019Cha026_1_436","2019Cha026_1","2019Cha026","DG",0,5,0,10,0,28,"Between"
"2019Cha026_1_436","2019Cha026_1","2019Cha026","DG",1,5,0,10,0,28,"Between"
"2019Cha026_1_436","2019Cha026_1","2019Cha026","DG",2,5,0,10,0,28,"Between"
"2019Cha026_1_436","2019Cha026_1","2019Cha026","DG",3,5,0,10,0,28,"Between"
"2019Cha026_1_436","2019Cha026_1","2019Cha026","DG",4,5,0,10,0,28,"Between"
"2019Cha026_1_436","2019Cha026_1","2019Cha026","DG",5,5,1,10,0,28,"Between"
"2019Cha026_1_436","2019Cha026_1","2019Cha026","DG",6,5,0,10,0,28,"Between"
"2019Cha026_1_436","2019Cha026_1","2019Cha026","DG",7,5,0,10,0,28,"Between"
"2019Cha026_1_436","2019Cha026_1","2019Cha026","DG",8,5,0,10,0,28,"Between"
"2019Cha026_1_436","2019Cha026_1","2019Cha026","DG",9,5,0,10,0,28,"Between"
"2019Cha026_1_436","2019Cha026_1","2019Cha026","DG",10,5,0,10,0,28,"Between"
"2019Cha026_1_439","2019Cha026_1","2019Cha026","DG",0,2,0,10,1,27,"Between"
"2019Cha026_1_439","2019Cha026_1","2019Cha026","DG",1,2,0,10,1,27,"Between"
"2019Cha026_1_439","2019Cha026_1","2019Cha026","DG",2,2,1,10,1,27,"Between"
"2019Cha026_1_439","2019Cha026_1","2019Cha026","DG",3,2,0,10,1,27,"Between"
"2019Cha026_1_439","2019Cha026_1","2019Cha026","DG",4,2,0,10,1,27,"Between"
"2019Cha026_1_439","2019Cha026_1","2019Cha026","DG",5,2,0,10,1,27,"Between"
"2019Cha026_1_439","2019Cha026_1","2019Cha026","DG",6,2,0,10,1,27,"Between"
"2019Cha026_1_439","2019Cha026_1","2019Cha026","DG",7,2,0,10,1,27,"Between"
"2019Cha026_1_439","2019Cha026_1","2019Cha026","DG",8,2,0,10,1,27,"Between"
"2019Cha026_1_439","2019Cha026_1","2019Cha026","DG",9,2,0,10,1,27,"Between"
"2019Cha026_1_439","2019Cha026_1","2019Cha026","DG",10,2,0,10,1,27,"Between"
"2019Cha026_1_441","2019Cha026_1","2019Cha026","DG",0,4,0,10,1,34,"Between"
"2019Cha026_1_441","2019Cha026_1","2019Cha026","DG",1,4,0,10,1,34,"Between"
"2019Cha026_1_441","2019Cha026_1","2019Cha026","DG",2,4,0,10,1,34,"Between"
"2019Cha026_1_441","2019Cha026_1","2019Cha026","DG",3,4,0,10,1,34,"Between"
"2019Cha026_1_441","2019Cha026_1","2019Cha026","DG",4,4,1,10,1,34,"Between"
"2019Cha026_1_441","2019Cha026_1","2019Cha026","DG",5,4,0,10,1,34,"Between"
"2019Cha026_1_441","2019Cha026_1","2019Cha026","DG",6,4,0,10,1,34,"Between"
"2019Cha026_1_441","2019Cha026_1","2019Cha026","DG",7,4,0,10,1,34,"Between"
"2019Cha026_1_441","2019Cha026_1","2019Cha026","DG",8,4,0,10,1,34,"Between"
"2019Cha026_1_441","2019Cha026_1","2019Cha026","DG",9,4,0,10,1,34,"Between"
"2019Cha026_1_441","2019Cha026_1","2019Cha026","DG",10,4,0,10,1,34,"Between"
"2019Cha026_1_445","2019Cha026_1","2019Cha026","DG",0,0,1,10,1,49,"Between"
"2019Cha026_1_445","2019Cha026_1","2019Cha026","DG",1,0,0,10,1,49,"Between"
"2019Cha026_1_445","2019Cha026_1","2019Cha026","DG",2,0,0,10,1,49,"Between"
"2019Cha026_1_445","2019Cha026_1","2019Cha026","DG",3,0,0,10,1,49,"Between"
"2019Cha026_1_445","2019Cha026_1","2019Cha026","DG",4,0,0,10,1,49,"Between"
"2019Cha026_1_445","2019Cha026_1","2019Cha026","DG",5,0,0,10,1,49,"Between"
"2019Cha026_1_445","2019Cha026_1","2019Cha026","DG",6,0,0,10,1,49,"Between"
"2019Cha026_1_445","2019Cha026_1","2019Cha026","DG",7,0,0,10,1,49,"Between"
"2019Cha026_1_445","2019Cha026_1","2019Cha026","DG",8,0,0,10,1,49,"Between"
"2019Cha026_1_445","2019Cha026_1","2019Cha026","DG",9,0,0,10,1,49,"Between"
"2019Cha026_1_445","2019Cha026_1","2019Cha026","DG",10,0,0,10,1,49,"Between"
"2019Cha026_1_454","2019Cha026_1","2019Cha026","DG",0,9,0,10,0,26,"Between"
"2019Cha026_1_454","2019Cha026_1","2019Cha026","DG",1,9,0,10,0,26,"Between"
"2019Cha026_1_454","2019Cha026_1","2019Cha026","DG",2,9,0,10,0,26,"Between"
"2019Cha026_1_454","2019Cha026_1","2019Cha026","DG",3,9,0,10,0,26,"Between"
"2019Cha026_1_454","2019Cha026_1","2019Cha026","DG",4,9,0,10,0,26,"Between"
"2019Cha026_1_454","2019Cha026_1","2019Cha026","DG",5,9,0,10,0,26,"Between"
"2019Cha026_1_454","2019Cha026_1","2019Cha026","DG",6,9,0,10,0,26,"Between"
"2019Cha026_1_454","2019Cha026_1","2019Cha026","DG",7,9,0,10,0,26,"Between"
"2019Cha026_1_454","2019Cha026_1","2019Cha026","DG",8,9,0,10,0,26,"Between"
"2019Cha026_1_454","2019Cha026_1","2019Cha026","DG",9,9,1,10,0,26,"Between"
"2019Cha026_1_454","2019Cha026_1","2019Cha026","DG",10,9,0,10,0,26,"Between"
"2019Cha026_1_456","2019Cha026_1","2019Cha026","DG",0,0,1,10,0,19,"Between"
"2019Cha026_1_456","2019Cha026_1","2019Cha026","DG",1,0,0,10,0,19,"Between"
"2019Cha026_1_456","2019Cha026_1","2019Cha026","DG",2,0,0,10,0,19,"Between"
"2019Cha026_1_456","2019Cha026_1","2019Cha026","DG",3,0,0,10,0,19,"Between"
"2019Cha026_1_456","2019Cha026_1","2019Cha026","DG",4,0,0,10,0,19,"Between"
"2019Cha026_1_456","2019Cha026_1","2019Cha026","DG",5,0,0,10,0,19,"Between"
"2019Cha026_1_456","2019Cha026_1","2019Cha026","DG",6,0,0,10,0,19,"Between"
"2019Cha026_1_456","2019Cha026_1","2019Cha026","DG",7,0,0,10,0,19,"Between"
"2019Cha026_1_456","2019Cha026_1","2019Cha026","DG",8,0,0,10,0,19,"Between"
"2019Cha026_1_456","2019Cha026_1","2019Cha026","DG",9,0,0,10,0,19,"Between"
"2019Cha026_1_456","2019Cha026_1","2019Cha026","DG",10,0,0,10,0,19,"Between"
"2019Cha026_1_459","2019Cha026_1","2019Cha026","DG",0,5,0,10,1,31,"Between"
"2019Cha026_1_459","2019Cha026_1","2019Cha026","DG",1,5,0,10,1,31,"Between"
"2019Cha026_1_459","2019Cha026_1","2019Cha026","DG",2,5,0,10,1,31,"Between"
"2019Cha026_1_459","2019Cha026_1","2019Cha026","DG",3,5,0,10,1,31,"Between"
"2019Cha026_1_459","2019Cha026_1","2019Cha026","DG",4,5,0,10,1,31,"Between"
"2019Cha026_1_459","2019Cha026_1","2019Cha026","DG",5,5,1,10,1,31,"Between"
"2019Cha026_1_459","2019Cha026_1","2019Cha026","DG",6,5,0,10,1,31,"Between"
"2019Cha026_1_459","2019Cha026_1","2019Cha026","DG",7,5,0,10,1,31,"Between"
"2019Cha026_1_459","2019Cha026_1","2019Cha026","DG",8,5,0,10,1,31,"Between"
"2019Cha026_1_459","2019Cha026_1","2019Cha026","DG",9,5,0,10,1,31,"Between"
"2019Cha026_1_459","2019Cha026_1","2019Cha026","DG",10,5,0,10,1,31,"Between"
"2019Cha026_1_462","2019Cha026_1","2019Cha026","DG",0,10,0,10,1,37,"Between"
"2019Cha026_1_462","2019Cha026_1","2019Cha026","DG",1,10,0,10,1,37,"Between"
"2019Cha026_1_462","2019Cha026_1","2019Cha026","DG",2,10,0,10,1,37,"Between"
"2019Cha026_1_462","2019Cha026_1","2019Cha026","DG",3,10,0,10,1,37,"Between"
"2019Cha026_1_462","2019Cha026_1","2019Cha026","DG",4,10,0,10,1,37,"Between"
"2019Cha026_1_462","2019Cha026_1","2019Cha026","DG",5,10,0,10,1,37,"Between"
"2019Cha026_1_462","2019Cha026_1","2019Cha026","DG",6,10,0,10,1,37,"Between"
"2019Cha026_1_462","2019Cha026_1","2019Cha026","DG",7,10,0,10,1,37,"Between"
"2019Cha026_1_462","2019Cha026_1","2019Cha026","DG",8,10,0,10,1,37,"Between"
"2019Cha026_1_462","2019Cha026_1","2019Cha026","DG",9,10,0,10,1,37,"Between"
"2019Cha026_1_462","2019Cha026_1","2019Cha026","DG",10,10,1,10,1,37,"Between"
"2019Cha026_1_463","2019Cha026_1","2019Cha026","DG",0,5,0,10,0,20,"Between"
"2019Cha026_1_463","2019Cha026_1","2019Cha026","DG",1,5,0,10,0,20,"Between"
"2019Cha026_1_463","2019Cha026_1","2019Cha026","DG",2,5,0,10,0,20,"Between"
"2019Cha026_1_463","2019Cha026_1","2019Cha026","DG",3,5,0,10,0,20,"Between"
"2019Cha026_1_463","2019Cha026_1","2019Cha026","DG",4,5,0,10,0,20,"Between"
"2019Cha026_1_463","2019Cha026_1","2019Cha026","DG",5,5,1,10,0,20,"Between"
"2019Cha026_1_463","2019Cha026_1","2019Cha026","DG",6,5,0,10,0,20,"Between"
"2019Cha026_1_463","2019Cha026_1","2019Cha026","DG",7,5,0,10,0,20,"Between"
"2019Cha026_1_463","2019Cha026_1","2019Cha026","DG",8,5,0,10,0,20,"Between"
"2019Cha026_1_463","2019Cha026_1","2019Cha026","DG",9,5,0,10,0,20,"Between"
"2019Cha026_1_463","2019Cha026_1","2019Cha026","DG",10,5,0,10,0,20,"Between"
"2019Cha026_1_469","2019Cha026_1","2019Cha026","DG",0,8,0,10,1,56,"Between"
"2019Cha026_1_469","2019Cha026_1","2019Cha026","DG",1,8,0,10,1,56,"Between"
"2019Cha026_1_469","2019Cha026_1","2019Cha026","DG",2,8,0,10,1,56,"Between"
"2019Cha026_1_469","2019Cha026_1","2019Cha026","DG",3,8,0,10,1,56,"Between"
"2019Cha026_1_469","2019Cha026_1","2019Cha026","DG",4,8,0,10,1,56,"Between"
"2019Cha026_1_469","2019Cha026_1","2019Cha026","DG",5,8,0,10,1,56,"Between"
"2019Cha026_1_469","2019Cha026_1","2019Cha026","DG",6,8,0,10,1,56,"Between"
"2019Cha026_1_469","2019Cha026_1","2019Cha026","DG",7,8,0,10,1,56,"Between"
"2019Cha026_1_469","2019Cha026_1","2019Cha026","DG",8,8,1,10,1,56,"Between"
"2019Cha026_1_469","2019Cha026_1","2019Cha026","DG",9,8,0,10,1,56,"Between"
"2019Cha026_1_469","2019Cha026_1","2019Cha026","DG",10,8,0,10,1,56,"Between"
"2019Cha026_1_477","2019Cha026_1","2019Cha026","DG",0,0,1,10,0,27,"Between"
"2019Cha026_1_477","2019Cha026_1","2019Cha026","DG",1,0,0,10,0,27,"Between"
"2019Cha026_1_477","2019Cha026_1","2019Cha026","DG",2,0,0,10,0,27,"Between"
"2019Cha026_1_477","2019Cha026_1","2019Cha026","DG",3,0,0,10,0,27,"Between"
"2019Cha026_1_477","2019Cha026_1","2019Cha026","DG",4,0,0,10,0,27,"Between"
"2019Cha026_1_477","2019Cha026_1","2019Cha026","DG",5,0,0,10,0,27,"Between"
"2019Cha026_1_477","2019Cha026_1","2019Cha026","DG",6,0,0,10,0,27,"Between"
"2019Cha026_1_477","2019Cha026_1","2019Cha026","DG",7,0,0,10,0,27,"Between"
"2019Cha026_1_477","2019Cha026_1","2019Cha026","DG",8,0,0,10,0,27,"Between"
"2019Cha026_1_477","2019Cha026_1","2019Cha026","DG",9,0,0,10,0,27,"Between"
"2019Cha026_1_477","2019Cha026_1","2019Cha026","DG",10,0,0,10,0,27,"Between"
"2019Cha026_1_885","2019Cha026_1","2019Cha026","DG",0,10,0,10,0,28,"Between"
"2019Cha026_1_885","2019Cha026_1","2019Cha026","DG",1,10,0,10,0,28,"Between"
"2019Cha026_1_885","2019Cha026_1","2019Cha026","DG",2,10,0,10,0,28,"Between"
"2019Cha026_1_885","2019Cha026_1","2019Cha026","DG",3,10,0,10,0,28,"Between"
"2019Cha026_1_885","2019Cha026_1","2019Cha026","DG",4,10,0,10,0,28,"Between"
"2019Cha026_1_885","2019Cha026_1","2019Cha026","DG",5,10,0,10,0,28,"Between"
"2019Cha026_1_885","2019Cha026_1","2019Cha026","DG",6,10,0,10,0,28,"Between"
"2019Cha026_1_885","2019Cha026_1","2019Cha026","DG",7,10,0,10,0,28,"Between"
"2019Cha026_1_885","2019Cha026_1","2019Cha026","DG",8,10,0,10,0,28,"Between"
"2019Cha026_1_885","2019Cha026_1","2019Cha026","DG",9,10,0,10,0,28,"Between"
"2019Cha026_1_885","2019Cha026_1","2019Cha026","DG",10,10,1,10,0,28,"Between"
"2019Cha026_1_886","2019Cha026_1","2019Cha026","DG",0,5,0,10,1,45,"Between"
"2019Cha026_1_886","2019Cha026_1","2019Cha026","DG",1,5,0,10,1,45,"Between"
"2019Cha026_1_886","2019Cha026_1","2019Cha026","DG",2,5,0,10,1,45,"Between"
"2019Cha026_1_886","2019Cha026_1","2019Cha026","DG",3,5,0,10,1,45,"Between"
"2019Cha026_1_886","2019Cha026_1","2019Cha026","DG",4,5,0,10,1,45,"Between"
"2019Cha026_1_886","2019Cha026_1","2019Cha026","DG",5,5,1,10,1,45,"Between"
"2019Cha026_1_886","2019Cha026_1","2019Cha026","DG",6,5,0,10,1,45,"Between"
"2019Cha026_1_886","2019Cha026_1","2019Cha026","DG",7,5,0,10,1,45,"Between"
"2019Cha026_1_886","2019Cha026_1","2019Cha026","DG",8,5,0,10,1,45,"Between"
"2019Cha026_1_886","2019Cha026_1","2019Cha026","DG",9,5,0,10,1,45,"Between"
"2019Cha026_1_886","2019Cha026_1","2019Cha026","DG",10,5,0,10,1,45,"Between"
"2019Cha026_1_889","2019Cha026_1","2019Cha026","DG",0,5,0,10,1,61,"Between"
"2019Cha026_1_889","2019Cha026_1","2019Cha026","DG",1,5,0,10,1,61,"Between"
"2019Cha026_1_889","2019Cha026_1","2019Cha026","DG",2,5,0,10,1,61,"Between"
